,ExchangeSegment,ExchangeInstrumentID,InstrumentType,Name,Description,Series,NameWithSeries,InstrumentID,PriceBand_High,PriceBand_Low,FreezeQty,TickSize,LotSize,Multiplier,UnderlyingInstrumentId,UnderlyingIndexName,ContractExpiration,DisplayName,PriceNumerator,PriceDenominator,DetailedDescription
16,BSEFO,824330,4,SENSEX,SENSEX25JAN25JANFUT,IF,SENSEX-IF,12100100824330,3906.95,-2344.15,500,0.05,20,1,-1,,2025-01-14T00:00:00,SENSEX 14JAN28JAN SPD,1,1,SENSEX25JAN25JANFUT
17,BSEFO,839994,4,SENSEX,SENSEX25JAN25FEBFUT,IF,SENSEX-IF,12100100839994,3906.95,-2344.15,500,0.05,20,1,-1,,2025-01-21T00:00:00,SENSEX 21JAN04FEB SPD,1,1,SENSEX25JAN25FEBFUT
18,BSEFO,842147,4,SENSEX,SENSEX25FEB25FEBFUT,IF,SENSEX-IF,12100100842147,3906.95,-2344.15,500,0.05,20,1,-1,,2025-02-04T00:00:00,SENSEX 04FEB11FEB SPD,1,1,SENSEX25FEB25FEBFUT
19,BSEFO,822608,4,SENSEX,SENSEX25JAN25JANFUT,IF,SENSEX-IF,12100100822608,3906.95,-2344.15,500,0.05,20,1,-1,,2025-01-07T00:00:00,SENSEX 07JAN28JAN SPD,1,1,SENSEX25JAN25JANFUT
20,BSEFO,842851,4,BANKEX,BANKEX25JAN25MARFUT,IF,BANKEX-IF,12100100842851,2887.05,-1732.25,600,0.05,15,1,-1,,2025-01-28T00:00:00,BANKEX 28JAN25MAR SPD,1,1,BANKEX25JAN25MARFUT
21,BSEFO,842145,4,SENSEX,SENSEX25JAN25MARFUT,IF,SENSEX-IF,12100100842145,3906.95,-2344.15,500,0.05,20,1,-1,,2025-01-14T00:00:00,SENSEX 14JAN25MAR SPD,1,1,SENSEX25JAN25MARFUT
22,BSEFO,839990,4,SENSEX,SENSEX25JAN25FEBFUT,IF,SENSEX-IF,12100100839990,3906.95,-2344.15,500,0.05,10,1,-1,,2025-01-03T00:00:00,SENSEX 03JAN04FEB SPD,1,1,SENSEX25JAN25FEBFUT
23,BSEFO,839995,4,SENSEX,SENSEX25JAN25FEBFUT,IF,SENSEX-IF,12100100839995,3906.95,-2344.15,500,0.05,20,1,-1,,2025-01-07T00:00:00,SENSEX 07JAN04FEB SPD,1,1,SENSEX25JAN25FEBFUT
24,BSEFO,825740,4,SENSEX,SENSEX25JAN25JANFUT,IF,SENSEX-IF,12100100825740,3906.95,-2344.15,500,0.05,20,1,-1,,2025-01-07T00:00:00,SENSEX 07JAN21JAN SPD,1,1,SENSEX25JAN25JANFUT
25,BSEFO,842138,4,SENSEX,SENSEX25FEB25MARFUT,IF,SENSEX-IF,12100100842138,3906.95,-2344.15,500,0.05,20,1,-1,,2025-02-04T00:00:00,SENSEX 04FEB25MAR SPD,1,1,SENSEX25FEB25MARFUT
26,BSEFO,842146,4,SENSEX,SENSEX25JAN25MARFUT,IF,SENSEX-IF,12100100842146,3906.95,-2344.15,500,0.05,10,1,-1,,2025-01-28T00:00:00,SENSEX 28JAN25MAR SPD,1,1,SENSEX25JAN25MARFUT
27,BSEFO,822614,4,SENSEX,SENSEX25JAN25JANFUT,IF,SENSEX-IF,12100100822614,3906.95,-2344.15,500,0.05,10,1,-1,,2025-01-03T00:00:00,SENSEX 03JAN07JAN SPD,1,1,SENSEX25JAN25JANFUT
28,BSEFO,842141,4,SENSEX,SENSEX25FEB25FEBFUT,IF,SENSEX-IF,12100100842141,3906.95,-2344.15,500,0.05,20,1,-1,,2025-02-11T00:00:00,SENSEX 11FEB25FEB SPD,1,1,SENSEX25FEB25FEBFUT
29,BSEFO,825744,4,SENSEX,SENSEX25JAN25JANFUT,IF,SENSEX-IF,12100100825744,3906.95,-2344.15,500,0.05,20,1,-1,,2025-01-21T00:00:00,SENSEX 21JAN28JAN SPD,1,1,SENSEX25JAN25JANFUT
30,BSEFO,842137,4,SENSEX,SENSEX25JAN25FEBFUT,IF,SENSEX-IF,12100100842137,3906.95,-2344.15,500,0.05,10,1,-1,,2025-01-28T00:00:00,SENSEX 28JAN11FEB SPD,1,1,SENSEX25JAN25FEBFUT
31,BSEFO,824331,4,SENSEX,SENSEX25JAN25FEBFUT,IF,SENSEX-IF,12100100824331,3906.95,-2344.15,500,0.05,20,1,-1,,2025-01-07T00:00:00,SENSEX 07JAN25FEB SPD,1,1,SENSEX25JAN25FEBFUT
32,BSEFO,839991,4,SENSEX,SENSEX25JAN25FEBFUT,IF,SENSEX-IF,12100100839991,3906.95,-2344.15,500,0.05,20,1,-1,,2025-01-14T00:00:00,SENSEX 14JAN04FEB SPD,1,1,SENSEX25JAN25FEBFUT
33,BSEFO,842852,4,BANKEX,BANKEX25FEB25MARFUT,IF,BANKEX-IF,12100100842852,2887.05,-1732.25,600,0.05,30,1,-1,,2025-02-25T00:00:00,BANKEX 25FEB25MAR SPD,1,1,BANKEX25FEB25MARFUT
34,BSEFO,841723,4,SENSEX50,SENSEX5025FEB25MARFUT,IF,SENSEX50-IF,12100100841723,1243.1,-745.85,1800,0.05,60,1,-1,,2025-02-25T00:00:00,SENSEX50 25FEB25MAR SPD,1,1,SENSEX5025FEB25MARFUT
35,BSEFO,825741,4,SENSEX,SENSEX25JAN25JANFUT,IF,SENSEX-IF,12100100825741,3906.95,-2344.15,500,0.05,10,1,-1,,2025-01-03T00:00:00,SENSEX 03JAN21JAN SPD,1,1,SENSEX25JAN25JANFUT
36,BSEFO,824334,4,SENSEX,SENSEX25JAN25JANFUT,IF,SENSEX-IF,12100100824334,3906.95,-2344.15,500,0.05,20,1,-1,,2025-01-07T00:00:00,SENSEX 07JAN14JAN SPD,1,1,SENSEX25JAN25JANFUT
37,BSEFO,842139,4,SENSEX,SENSEX25JAN25MARFUT,IF,SENSEX-IF,12100100842139,3906.95,-2344.15,500,0.05,20,1,-1,,2025-01-07T00:00:00,SENSEX 07JAN25MAR SPD,1,1,SENSEX25JAN25MARFUT
38,BSEFO,842149,4,SENSEX,SENSEX25JAN25MARFUT,IF,SENSEX-IF,12100100842149,3906.95,-2344.15,500,0.05,20,1,-1,,2025-01-21T00:00:00,SENSEX 21JAN25MAR SPD,1,1,SENSEX25JAN25MARFUT
39,BSEFO,825742,4,SENSEX,SENSEX25JAN25JANFUT,IF,SENSEX-IF,12100100825742,3906.95,-2344.15,500,0.05,20,1,-1,,2025-01-14T00:00:00,SENSEX 14JAN21JAN SPD,1,1,SENSEX25JAN25JANFUT
40,BSEFO,842148,4,SENSEX,SENSEX25JAN25FEBFUT,IF,SENSEX-IF,12100100842148,3906.95,-2344.15,500,0.05,20,1,-1,,2025-01-07T00:00:00,SENSEX 07JAN11FEB SPD,1,1,SENSEX25JAN25FEBFUT
41,BSEFO,842144,4,SENSEX,SENSEX25FEB25MARFUT,IF,SENSEX-IF,12100100842144,3906.95,-2344.15,500,0.05,20,1,-1,,2025-02-25T00:00:00,SENSEX 25FEB25MAR SPD,1,1,SENSEX25FEB25MARFUT
